Round,TrainingLoss,ValidationLoss,ValidationAccuracy
0.0,0.9767116732454635,506.5212886929512,0.48383333333333334
1.0,0.6182662846525204,337.8309347629547,0.668
2.0,0.5149654990218243,285.01596716046333,0.728
3.0,0.464035887676598,256.5813888311386,0.7646666666666667
4.0,0.43579809416139076,235.6553711295128,0.78675
5.0,0.41276686276529845,223.423449665308,0.7978333333333333
6.0,0.39469668105617733,212.95609246194363,0.8076666666666666
7.0,0.3858299892344521,205.71540568768978,0.8143333333333334
8.0,0.3749005474012526,200.6999615728855,0.8185833333333333
9.0,0.36567517745858735,193.87135210633278,0.8235833333333333
10.0,0.3588776713757843,189.21533988416195,0.8264166666666667
11.0,0.34746950147278605,185.1337939351797,0.8290833333333333
12.0,0.3447065380986167,180.9656622260809,0.8335
13.0,0.3383795548121946,178.38745069503784,0.8335833333333333
14.0,0.332139583144917,176.3111067712307,0.83575
15.0,0.3310100326757599,172.85990665853024,0.8400833333333333
16.0,0.3234281670737315,171.05391328036785,0.84025
17.0,0.31866940599987437,169.33405016362667,0.84125
18.0,0.31637297141261594,167.70960757136345,0.8440833333333333
19.0,0.3125534153171548,166.59600113332272,0.8444166666666667
